class,layer,change_rate,type,rank
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",9,-4.449159143790603,critical,1
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",2,-1.4979780864715568,critical,2
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",10,-1.379966539202352,critical,3
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",3,0.602598767280579,least_critical,1
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",1,0.28314566135406416,least_critical,2
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",5,0.2129357385635373,least_critical,3
"lion, king of beasts, Panthera leo",10,-2.4116886284621435,critical,1
"lion, king of beasts, Panthera leo",9,-1.3134691548347477,critical,2
"lion, king of beasts, Panthera leo",6,-0.7731712675094604,critical,3
"lion, king of beasts, Panthera leo",2,0.6885991287231441,least_critical,1
"lion, king of beasts, Panthera leo",1,0.21954069614410443,least_critical,2
"lion, king of beasts, Panthera leo",5,0.12986154556274432,least_critical,3
"brown bear, bruin, Ursus arctos",9,-2.260182649493217,critical,1
"brown bear, bruin, Ursus arctos",3,-2.162155561447144,critical,2
"brown bear, bruin, Ursus arctos",4,-1.8956270217895508,critical,3
"brown bear, bruin, Ursus arctos",5,0.8895701932907105,least_critical,1
"brown bear, bruin, Ursus arctos",6,0.3491096401214602,least_critical,2
"brown bear, bruin, Ursus arctos",2,-0.3813099575042713,least_critical,3
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",8,-1.861124243736267,critical,1
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",9,-1.6110129179712387,critical,2
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",4,-1.4175159025192263,critical,3
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",5,0.7442866849899294,least_critical,1
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",1,0.43880425930023215,least_critical,2
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",6,0.3625949382781979,least_critical,3
fly,9,-2.4851781784929337,critical,1
fly,8,-1.9979383850097658,critical,2
fly,10,-1.380923986411799,critical,3
fly,5,0.3239191913604733,least_critical,1
fly,2,0.24926071643829495,least_critical,2
fly,1,0.21448684453964173,least_critical,3
bee,8,-1.524241284132004,critical,1
bee,9,-1.4112519253790379,critical,2
bee,10,-1.2268532712617888,critical,3
bee,1,0.7895706951618191,least_critical,1
bee,2,0.32290955066680915,least_critical,2
bee,5,0.12066908359527595,least_critical,3
"grasshopper, hopper",9,-1.9833956781355664,critical,1
"grasshopper, hopper",8,-1.421936106681824,critical,2
"grasshopper, hopper",7,-1.1631178236007687,critical,3
"grasshopper, hopper",1,1.2718797731399532,least_critical,1
"grasshopper, hopper",5,0.7544614028930665,least_critical,2
"grasshopper, hopper",2,0.5358216381072998,least_critical,3
"walking stick, walkingstick, stick insect",9,-2.903979615718127,critical,1
"walking stick, walkingstick, stick insect",8,-1.4532086610794064,critical,2
"walking stick, walkingstick, stick insect",4,-1.0729936981201167,critical,3
"walking stick, walkingstick, stick insect",5,0.13199151515960672,least_critical,1
"walking stick, walkingstick, stick insect",1,0.12433458328247049,least_critical,2
"walking stick, walkingstick, stick insect",6,-0.26568422794342084,least_critical,3
"cockroach, roach",9,-2.6529456247761845,critical,1
"cockroach, roach",8,-1.8864006996154785,critical,2
"cockroach, roach",7,-1.3996514177322386,critical,3
"cockroach, roach",5,0.5396595287323,least_critical,1
"cockroach, roach",2,0.5346328926086423,least_critical,2
"cockroach, roach",1,0.060620355606078924,least_critical,3
"mantis, mantid",9,-2.2728011602163316,critical,1
"mantis, mantid",8,-1.66161511182785,critical,2
"mantis, mantid",7,-1.0929989576339727,critical,3
"mantis, mantid",1,0.5141781115531909,least_critical,1
"mantis, mantid",5,0.22440544128417983,least_critical,2
"mantis, mantid",3,0.038294277191162074,least_critical,3
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",10,-1.9683484113648593,critical,1
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",8,-1.9025576758384708,critical,2
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",9,-1.3020689500123264,critical,3
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",3,0.08340597152709961,least_critical,1
