class,layer,change_rate,type,rank
golden retriever,2,-inf,least_critical,1
golden retriever,3,-inf,least_critical,2
golden retriever,6,-inf,least_critical,3
Labrador retriever,10,0.13877337353615518,critical,1
Labrador retriever,11,0.09806785172482116,critical,2
Labrador retriever,9,0.001495720261605141,critical,3
Labrador retriever,1,-inf,least_critical,1
Labrador retriever,2,-inf,least_critical,2
Labrador retriever,3,-inf,least_critical,3
"German shepherd, German shepherd dog, German police dog, alsatian",10,0.4431262381115971,critical,1
"German shepherd, German shepherd dog, German police dog, alsatian",9,0.18762450649242057,critical,2
"German shepherd, German shepherd dog, German police dog, alsatian",11,0.1005786043444209,critical,3
"German shepherd, German shepherd dog, German police dog, alsatian",1,-inf,least_critical,1
"German shepherd, German shepherd dog, German police dog, alsatian",6,-inf,least_critical,2
"German shepherd, German shepherd dog, German police dog, alsatian",7,-inf,least_critical,3
standard poodle,9,0.2363797214436818,critical,1
standard poodle,10,0.18635452775127342,critical,2
standard poodle,11,0.0651406546489105,critical,3
standard poodle,3,-inf,least_critical,1
standard poodle,5,-inf,least_critical,2
standard poodle,1,0.00015916449963697014,least_critical,3
"tabby, tabby cat",9,0.2805566276046557,critical,1
"tabby, tabby cat",11,0.23545007584158162,critical,2
"tabby, tabby cat",10,0.22940330509862178,critical,3
"tabby, tabby cat",3,-inf,least_critical,1
"tabby, tabby cat",6,-inf,least_critical,2
"tabby, tabby cat",1,3.187795173288614e-05,least_critical,3
Persian cat,9,0.34134869432611603,critical,1
Persian cat,10,0.18025984168707504,critical,2
Persian cat,11,0.028875117120296667,critical,3
Persian cat,2,-inf,least_critical,1
Persian cat,3,9.878749842755989e-05,least_critical,2
Persian cat,4,0.0006481979001546278,least_critical,3
Egyptian cat,10,0.03904532320101488,critical,1
Egyptian cat,11,0.017009953383082796,critical,2
Egyptian cat,6,0.0018559342506341554,critical,3
Egyptian cat,1,-inf,least_critical,1
Egyptian cat,7,-inf,least_critical,2
Egyptian cat,8,-inf,least_critical,3
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",10,0.4075678369891876,critical,1
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",9,0.28806874516209063,critical,2
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",11,0.07848548713946457,critical,3
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",1,-inf,least_critical,1
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",3,-inf,least_critical,2
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",4,-inf,least_critical,3
"lion, king of beasts, Panthera leo",10,0.4636149357300019,critical,1
"lion, king of beasts, Panthera leo",11,0.2311340230493807,critical,2
"lion, king of beasts, Panthera leo",9,0.07339542471629103,critical,3
"lion, king of beasts, Panthera leo",1,-inf,least_critical,1
"lion, king of beasts, Panthera leo",2,-inf,least_critical,2
"lion, king of beasts, Panthera leo",5,-inf,least_critical,3
"brown bear, bruin, Ursus arctos",10,0.42420086765749143,critical,1
"brown bear, bruin, Ursus arctos",11,0.27077591616718566,critical,2
"brown bear, bruin, Ursus arctos",9,0.1669704898790224,critical,3
"brown bear, bruin, Ursus arctos",5,-inf,least_critical,1
"brown bear, bruin, Ursus arctos",6,-inf,least_critical,2
"brown bear, bruin, Ursus arctos",2,2.0360332819109317e-05,least_critical,3
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",9,0.3516463666028722,critical,1
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",10,0.1533067037208093,critical,2
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",8,0.09696004159748556,critical,3
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",1,-inf,least_critical,1
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",5,-inf,least_critical,2
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",6,-inf,least_critical,3
fly,10,0.2924861585475447,critical,1
fly,9,0.2920182041608496,critical,2
fly,11,0.06411249386270346,critical,3
fly,1,-inf,least_critical,1
fly,2,-inf,least_critical,2
fly,5,-inf,least_critical,3
bee,11,0.21321121788429992,critical,1
