class,layer,change_rate,type,rank
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",22,0.20894422264934298,critical,2
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",21,0.00796892394957468,critical,3
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",2,-inf,least_critical,1
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",3,-inf,least_critical,2
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",7,-inf,least_critical,3
"lion, king of beasts, Panthera leo",22,0.43337171776220196,critical,1
"lion, king of beasts, Panthera leo",20,0.1974962109059561,critical,2
"lion, king of beasts, Panthera leo",21,0.11292059631086895,critical,3
"lion, king of beasts, Panthera leo",2,-inf,least_critical,1
"lion, king of beasts, Panthera leo",3,-inf,least_critical,2
"lion, king of beasts, Panthera leo",7,-inf,least_critical,3
"brown bear, bruin, Ursus arctos",23,0.5292223931696207,critical,1
"brown bear, bruin, Ursus arctos",22,0.3458748918763013,critical,2
"brown bear, bruin, Ursus arctos",21,0.007035451675001234,critical,3
"brown bear, bruin, Ursus arctos",6,-inf,least_critical,1
"brown bear, bruin, Ursus arctos",7,-inf,least_critical,2
"brown bear, bruin, Ursus arctos",13,-inf,least_critical,3
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",23,0.5530350994644686,critical,1
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",22,0.3047556291078218,critical,2
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",20,0.03570891890092754,critical,3
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",2,-inf,least_critical,1
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",11,-inf,least_critical,2
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",12,-inf,least_critical,3
fly,22,0.27758652314078064,critical,1
fly,19,0.06007626107893885,critical,2
fly,21,0.04680289058946077,critical,3
fly,1,-inf,least_critical,1
fly,5,-inf,least_critical,2
fly,6,-inf,least_critical,3
bee,22,0.5271069420594723,critical,1
bee,20,0.03602591348811984,critical,2
bee,21,0.032703118864446885,critical,3
bee,1,-inf,least_critical,1
bee,7,-inf,least_critical,2
bee,10,-inf,least_critical,3
"grasshopper, hopper",23,0.5340893239646175,critical,1
"grasshopper, hopper",22,0.03905226399914681,critical,2
"grasshopper, hopper",20,0.0021161369351375466,critical,3
"grasshopper, hopper",1,-inf,least_critical,1
"grasshopper, hopper",6,-inf,least_critical,2
"grasshopper, hopper",7,-inf,least_critical,3
"walking stick, walkingstick, stick insect",23,0.28111857721240086,critical,1
"walking stick, walkingstick, stick insect",22,0.1684037203503613,critical,2
"walking stick, walkingstick, stick insect",20,0.10382505589372158,critical,3
"walking stick, walkingstick, stick insect",1,-inf,least_critical,1
"walking stick, walkingstick, stick insect",2,-inf,least_critical,2
"walking stick, walkingstick, stick insect",11,-inf,least_critical,3
"cockroach, roach",23,0.20680253206475757,critical,1
"cockroach, roach",22,0.07033795205948992,critical,2
"cockroach, roach",9,0.011142837250372392,critical,3
"cockroach, roach",1,-inf,least_critical,1
"cockroach, roach",3,-inf,least_critical,2
"cockroach, roach",6,-inf,least_critical,3
"mantis, mantid",23,0.3418990873522125,critical,1
"mantis, mantid",22,0.048760849551617885,critical,2
"mantis, mantid",21,0.007270077670254972,critical,3
"mantis, mantid",1,-inf,least_critical,1
"mantis, mantid",10,-inf,least_critical,2
"mantis, mantid",11,-inf,least_critical,3
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",23,0.45924754561943704,critical,1
