Image,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23
Image_21,0.45113909244537354,0.46730467677116394,0.47507598996162415,0.4798366129398346,0.49988147616386414,0.5225003957748413,0.519367516040802,0.5338116884231567,0.5512970685958862,0.5718895196914673,0.5603706240653992,0.5883582234382629,0.5883452296257019,0.5847994089126587,0.6187152862548828,0.6466765999794006,0.6697465777397156,0.726603627204895,0.7351602911949158,0.7446079850196838,0.7927648425102234,0.847820520401001,0.8974012136459351,1.0000001192092896
Image_22,0.4310905337333679,0.4421426057815552,0.44640204310417175,0.4532364010810852,0.4681938886642456,0.4954240024089813,0.4920116066932678,0.5140171051025391,0.532034695148468,0.5511170625686646,0.5267071723937988,0.5528087019920349,0.5609961748123169,0.5589537620544434,0.5945308208465576,0.6382988691329956,0.6462094783782959,0.7053978443145752,0.7307486534118652,0.746792197227478,0.7827488780021667,0.8419569730758667,0.900886595249176,1.0000001192092896
Image_23,0.4740872085094452,0.485477477312088,0.49242889881134033,0.5000804662704468,0.512704074382782,0.5245377421379089,0.5203522443771362,0.5469313859939575,0.5667377710342407,0.5718830823898315,0.5517992973327637,0.568825364112854,0.593937337398529,0.5836274027824402,0.6099884510040283,0.6372619271278381,0.6666185259819031,0.730657160282135,0.7289227247238159,0.7440093755722046,0.7741317749023438,0.8310495615005493,0.8917422294616699,1.000000238418579
Image_24,0.4421180188655853,0.4540441930294037,0.4636446535587311,0.47271445393562317,0.481065958738327,0.4914439022541046,0.49136242270469666,0.5044348835945129,0.5253045558929443,0.5356158018112183,0.5385971069335938,0.5633075833320618,0.5688931941986084,0.5620914101600647,0.5901727676391602,0.6331891417503357,0.6570357084274292,0.6992728114128113,0.7316438555717468,0.7661967277526855,0.802437424659729,0.8500105142593384,0.8960036635398865,1.0
Image_25,0.4778362810611725,0.4882155656814575,0.5025333166122437,0.5093470215797424,0.5206608176231384,0.532745897769928,0.5282531380653381,0.5463951230049133,0.5689115524291992,0.5774139165878296,0.5416597723960876,0.5723479986190796,0.58161860704422,0.5930724143981934,0.6162519454956055,0.6491318345069885,0.6615608334541321,0.7276825308799744,0.7395771145820618,0.7474616169929504,0.7765122652053833,0.8381776809692383,0.9177159070968628,1.0
Image_26,0.39637213945388794,0.4032430350780487,0.42231252789497375,0.43567007780075073,0.4406789541244507,0.4416322410106659,0.45179712772369385,0.4666869640350342,0.4829646944999695,0.5059570074081421,0.5269330143928528,0.5483077764511108,0.5618306398391724,0.5599108934402466,0.5888885855674744,0.6188785433769226,0.6235939264297485,0.6551173329353333,0.6800842881202698,0.7137275338172913,0.7579482793807983,0.8099518418312073,0.8800361156463623,1.0000001192092896
Image_27,0.46287599205970764,0.4786284863948822,0.5003127455711365,0.5070804953575134,0.5005316138267517,0.5038377642631531,0.5194019079208374,0.5307739973068237,0.5366929173469543,0.5618250370025635,0.5528883934020996,0.5568861961364746,0.5636699199676514,0.561290442943573,0.6001185178756714,0.6295421123504639,0.6228271126747131,0.6799712777137756,0.7120780944824219,0.7356055974960327,0.7850557565689087,0.8346678614616394,0.8903436660766602,1.0000001192092896
Image_28,0.4242546260356903,0.43423378467559814,0.4544835388660431,0.4546697735786438,0.4535711705684662,0.4684062898159027,0.4669956862926483,0.48005831241607666,0.49474725127220154,0.5058402419090271,0.5193600058555603,0.5389363169670105,0.5581989288330078,0.5800348520278931,0.6079392433166504,0.6347731351852417,0.644100546836853,0.6908296346664429,0.7095240950584412,0.7344260215759277,0.7797635197639465,0.8312461376190186,0.8703288435935974,1.0000001192092896
Image_29,0.4536316990852356,0.46665191650390625,0.4836740493774414,0.49116751551628113,0.49021482467651367,0.4964616298675537,0.5105204582214355,0.5151099562644958,0.517944872379303,0.5325484275817871,0.5328906774520874,0.5341913104057312,0.5477546453475952,0.5517140626907349,0.5866262912750244,0.612372875213623,0.6043114066123962,0.6563175320625305,0.6849355101585388,0.7415730953216553,0.7787169218063354,0.8175694942474365,0.8946201801300049,1.0000001192092896
Image_30,0.45403632521629333,0.4694409966468811,0.4860043525695801,0.4899000823497772,0.48989009857177734,0.49857190251350403,0.5083500742912292,0.516788899898529,0.5193725824356079,0.5249552726745605,0.5317104458808899,0.5367323756217957,0.547492265701294,0.5427318215370178,0.5830742120742798,0.6105213165283203,0.6055414080619812,0.6559957265853882,0.682039201259613,0.7161327004432678,0.7825974822044373,0.8215656280517578,0.8831908702850342,1.0000001192092896
Image_31,0.3933572471141815,0.40703320503234863,0.4256364107131958,0.4368659555912018,0.4380117952823639,0.45000261068344116,0.46355968713760376,0.47708675265312195,0.4850907623767853,0.5146119594573975,0.5147578716278076,0.5310797691345215,0.5647268891334534,0.5737828016281128,0.5975178480148315,0.6067190170288086,0.6165586113929749,0.6557078957557678,0.6782670617103577,0.7202153205871582,0.7819893956184387,0.8239721059799194,0.8945895433425903,1.0
Image_32,0.41653159260749817,0.4239134192466736,0.44408491253852844,0.4519197642803192,0.4597584903240204,0.4714813530445099,0.49250736832618713,0.4985972046852112,0.5072848200798035,0.525305449962616,0.5216522812843323,0.5117482542991638,0.5346598625183105,0.5411808490753174,0.5818900465965271,0.6164613962173462,0.6168509125709534,0.6530020236968994,0.67143714427948,0.6922107338905334,0.7277339696884155,0.7864058017730713,0.869925320148468,1.0
Image_33,0.371707022190094,0.38485610485076904,0.394085168838501,0.39785003662109375,0.40398073196411133,0.4152891933917999,0.4279889464378357,0.4381897747516632,0.4577479660511017,0.4908750355243683,0.4986150562763214,0.494617760181427,0.4998322129249573,0.5222628116607666,0.5609664916992188,0.5949851870536804,0.6108875274658203,0.6261194348335266,0.6293020248413086,0.6733339428901672,0.732973575592041,0.7876306176185608,0.8439306020736694,1.0
Image_34,0.439488023519516,0.45062410831451416,0.469073623418808,0.4725443720817566,0.4822346270084381,0.5009536147117615,0.5160475969314575,0.5337880849838257,0.5494428277015686,0.558650553226471,0.5734306573867798,0.5721786618232727,0.5790574550628662,0.596440851688385,0.6074614524841309,0.641575813293457,0.6508690714836121,0.6779165267944336,0.7020997405052185,0.7509512901306152,0.7812944054603577,0.8272411823272705,0.8892861604690552,1.0000001192092896
Image_35,0.4247840940952301,0.4312008321285248,0.4489976465702057,0.4547949433326721,0.46511155366897583,0.4782294034957886,0.48893365263938904,0.5017576217651367,0.5127002596855164,0.538398027420044,0.5451644062995911,0.5247272253036499,0.5170234441757202,0.5136765837669373,0.5547604560852051,0.5940636396408081,0.5964822173118591,0.6446688771247864,0.6757826805114746,0.7090549468994141,0.7495578527450562,0.8060828447341919,0.8875254988670349,0.9999999403953552
Image_36,0.4580332040786743,0.4742771089076996,0.48624083399772644,0.49286359548568726,0.5026370882987976,0.5093794465065002,0.5171651840209961,0.5262258648872375,0.5365192890167236,0.5550873875617981,0.5635854601860046,0.5408663749694824,0.547262966632843,0.5355851054191589,0.5578746795654297,0.599297285079956,0.5954300165176392,0.6464782953262329,0.6696386933326721,0.7079386115074158,0.7609381079673767,0.7994349598884583,0.8812240362167358,1.0000001192092896
Image_37,0.43979933857917786,0.4597536325454712,0.470994234085083,0.4691697061061859,0.47108834981918335,0.47764822840690613,0.4846363365650177,0.49685171246528625,0.5076177716255188,0.5267012119293213,0.5207638144493103,0.5112559199333191,0.5168878436088562,0.5294941663742065,0.555658757686615,0.5957569479942322,0.6087164282798767,0.6581529378890991,0.6845206022262573,0.7206882834434509,0.7581276297569275,0.7966943979263306,0.8688761591911316,1.0
Image_38,0.42236724495887756,0.42728540301322937,0.4398908317089081,0.4379212558269501,0.4403749406337738,0.4625761806964874,0.47383537888526917,0.4870612323284149,0.5213344693183899,0.5404078364372253,0.5317928194999695,0.5474215745925903,0.5616706013679504,0.5764318704605103,0.596084475517273,0.6058655977249146,0.6192654967308044,0.684532105922699,0.6905680894851685,0.7409304976463318,0.762161135673523,0.8261097073554993,0.8649071455001831,1.0
Image_39,0.40386128425598145,0.41595861315727234,0.4355369508266449,0.4378078579902649,0.4370253086090088,0.4524790942668915,0.46408671140670776,0.4835328459739685,0.49226149916648865,0.5229974389076233,0.5402613282203674,0.5466368794441223,0.546071469783783,0.5675793290138245,0.5917210578918457,0.6040630340576172,0.6142541766166687,0.6631527543067932,0.6850436329841614,0.7180148959159851,0.7767816781997681,0.8263761401176453,0.865079402923584,1.000000238418579
Image_40,0.43806055188179016,0.4513980746269226,0.4689610004425049,0.4779929220676422,0.47947192192077637,0.48351579904556274,0.49216437339782715,0.5046783089637756,0.519303023815155,0.5347273945808411,0.5358589887619019,0.5470264554023743,0.5695500373840332,0.5677719712257385,0.5923018455505371,0.612205982208252,0.6224697828292847,0.6761823296546936,0.7009961605072021,0.7363479137420654,0.7727329730987549,0.8226076364517212,0.884824275970459,1.0
