Image,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_37,-0.004392761737108231,0.013627037405967712,0.014645226299762726,0.013039164245128632,0.03433357924222946,0.07477365434169769,0.12117688357830048,0.18470051884651184,0.33320152759552,0.691769003868103,0.8763996362686157,0.9424033164978027
Image_38,0.03258673846721649,0.04385010153055191,0.04407732933759689,0.08007295429706573,0.12636065483093262,0.1900745928287506,0.2429700344800949,0.3108506202697754,0.4497722387313843,0.764500081539154,0.8968903422355652,0.9091978073120117
Image_39,-0.003760002553462982,0.018978804349899292,0.008309721946716309,0.03312230110168457,0.0716034322977066,0.13309119641780853,0.17955686151981354,0.2315702736377716,0.36616459488868713,0.6694369912147522,0.8504990339279175,0.9072344303131104
Image_40,0.05059538781642914,0.0233505479991436,0.02781911939382553,0.0598917081952095,0.09920217096805573,0.1405862718820572,0.1789906620979309,0.23834815621376038,0.3705896735191345,0.693922221660614,0.8834008574485779,0.9012874364852905
Image_41,0.011572785675525665,0.03619874268770218,0.04876298829913139,0.07201741635799408,0.10481036454439163,0.15213319659233093,0.18985366821289062,0.2595444321632385,0.41468799114227295,0.713670551776886,0.8596422076225281,0.8982608914375305
Image_42,0.042293108999729156,0.02684701979160309,0.02548263967037201,0.04462869465351105,0.07230259478092194,0.14105848968029022,0.18269331753253937,0.24944870173931122,0.40641653537750244,0.7074793577194214,0.8684555292129517,0.9463405609130859
Image_43,0.030654877424240112,0.037180010229349136,0.024863604456186295,0.025969520211219788,0.050984349101781845,0.11072270572185516,0.16108140349388123,0.2435711920261383,0.40433645248413086,0.7426954507827759,0.8982965350151062,0.9417757391929626
Image_44,0.036154843866825104,0.06767028570175171,0.07161663472652435,0.06820734590291977,0.11837046593427658,0.17711865901947021,0.22821524739265442,0.28804612159729004,0.4558795690536499,0.7723061442375183,0.8848278522491455,0.9182976484298706
Image_45,0.006999760866165161,0.04728033021092415,0.05999629944562912,0.07560358941555023,0.10783765465021133,0.14658774435520172,0.1712484210729599,0.24709641933441162,0.38187554478645325,0.7080179452896118,0.881645917892456,0.8940303325653076
Image_46,0.018871568143367767,0.0035855211317539215,0.0005291551351547241,0.013188689947128296,0.05202007666230202,0.09700149297714233,0.13581734895706177,0.19916394352912903,0.3368990421295166,0.7259078025817871,0.8487507104873657,0.9216957092285156
Image_47,-0.01602265238761902,0.023013830184936523,0.027615688741207123,0.030300259590148926,0.06495076417922974,0.12286233901977539,0.17350932955741882,0.24691197276115417,0.3857802748680115,0.724134087562561,0.8644472360610962,0.8973028063774109
Image_48,0.004060741513967514,0.013733364641666412,0.025036342442035675,0.04923916608095169,0.07475515455007553,0.13935066759586334,0.1738561987876892,0.2432033121585846,0.43448641896247864,0.7504404783248901,0.864397406578064,0.9264445900917053
Image_49,0.003100108355283737,0.027223944664001465,0.04029908776283264,0.04889802634716034,0.081647589802742,0.13822922110557556,0.20762999355793,0.2757001519203186,0.4402732849121094,0.7382928729057312,0.8815310001373291,0.9080870151519775
Image_50,0.006291698664426804,0.011363938450813293,0.003785930573940277,0.005600377917289734,0.03804069757461548,0.0901755765080452,0.13721194863319397,0.2275770902633667,0.38368210196495056,0.693312406539917,0.862560510635376,0.9408169984817505
Image_51,0.016829170286655426,0.016627773642539978,0.00948263704776764,0.02282099425792694,0.04718563333153725,0.10779795050621033,0.14967092871665955,0.20836913585662842,0.3565230667591095,0.6999260783195496,0.8762928247451782,0.9528887271881104
Image_52,0.033833056688308716,0.008614584803581238,0.008755974471569061,0.021315589547157288,0.05884641408920288,0.12355422973632812,0.15856119990348816,0.21320194005966187,0.3875810503959656,0.6861568689346313,0.8451849222183228,0.9402933120727539
Image_53,-0.007245790213346481,-0.018884945660829544,-0.016361214220523834,-0.00657973438501358,0.027320124208927155,0.08099466562271118,0.12366758286952972,0.18742993474006653,0.3306275010108948,0.6475436687469482,0.8384639620780945,0.9324032068252563
Image_54,0.04481735825538635,0.03649755194783211,0.045926906168460846,0.056594111025333405,0.10632821917533875,0.18027034401893616,0.2432430237531662,0.3246300220489502,0.5221778154373169,0.8154697418212891,0.9100874662399292,0.9285033345222473
Image_55,0.05153672397136688,0.050732746720314026,0.0699315145611763,0.09136433899402618,0.13848309218883514,0.18223169445991516,0.21609154343605042,0.2947331368923187,0.4418434500694275,0.766268253326416,0.8960300087928772,0.9092362523078918
Image_56,0.014674298465251923,0.04692989960312843,0.04714658856391907,0.06552661955356598,0.10202180594205856,0.17229467630386353,0.2129572629928589,0.2718530297279358,0.42881500720977783,0.7300096750259399,0.8651958107948303,0.9320096969604492
Image_57,0.010159779340028763,0.0072193145751953125,0.007266826927661896,0.01322115957736969,0.05008869618177414,0.08769777417182922,0.12481500953435898,0.17695926129817963,0.328904926776886,0.6348868608474731,0.8398851752281189,0.9419881105422974
Image_58,0.005097601562738419,0.003327108919620514,0.028266414999961853,0.04868374764919281,0.09003964811563492,0.14888225495815277,0.19180059432983398,0.2617896795272827,0.4235243797302246,0.7373569011688232,0.8841246962547302,0.9016035199165344
Image_59,0.00819706916809082,0.02913687378168106,0.0207805335521698,0.02481483668088913,0.05091967433691025,0.1081852987408638,0.17123189568519592,0.24528226256370544,0.4108298718929291,0.7195308804512024,0.8661096692085266,0.9179569482803345
Image_60,0.011838167905807495,0.03102613240480423,0.035171784460544586,0.050533175468444824,0.08644403517246246,0.15559427440166473,0.2077779620885849,0.2789365351200104,0.46550819277763367,0.7386154532432556,0.8677682876586914,0.9302937388420105
Image_61,0.019423160701990128,0.04172072559595108,0.01632719486951828,0.02523265779018402,0.06947258859872818,0.12382979691028595,0.16339047253131866,0.23040658235549927,0.3629764914512634,0.6993101835250854,0.8765580058097839,0.9403298497200012
Image_62,0.028504865244030952,0.013517778366804123,0.0035441741347312927,0.0012993738055229187,0.042510826140642166,0.09948622435331345,0.1464233249425888,0.220859095454216,0.3791397213935852,0.7251002788543701,0.8835148811340332,0.9142792224884033
Image_63,-0.02684607356786728,-0.008701279759407043,-0.01938515156507492,-0.013062037527561188,0.019182108342647552,0.08019452542066574,0.13730289041996002,0.2070607841014862,0.38304346799850464,0.6964685916900635,0.8579304814338684,0.9489009976387024
Image_64,0.035696715116500854,0.03768477216362953,0.021769188344478607,0.029905304312705994,0.0684184804558754,0.11185835301876068,0.15236935019493103,0.21016421914100647,0.3645046651363373,0.6711353063583374,0.867000162601471,0.9391579627990723
Image_65,0.010019797831773758,0.017284709960222244,0.038181137293577194,0.0501902736723423,0.08931180089712143,0.13899898529052734,0.1757512390613556,0.23756001889705658,0.3632358908653259,0.6881229877471924,0.8612346649169922,0.9109019041061401
Image_66,0.05226518213748932,0.05180339142680168,0.05262758582830429,0.07399390637874603,0.11645790934562683,0.16601894795894623,0.20417875051498413,0.26327675580978394,0.42538121342658997,0.73219895362854,0.8740679621696472,0.8895014524459839
Image_67,-0.03334703668951988,-0.025922615081071854,-0.027142740786075592,-0.024931401014328003,0.007575586438179016,0.05968596786260605,0.09741109609603882,0.17592589557170868,0.31317102909088135,0.6516521573066711,0.8601990938186646,0.9525815844535828
