class,layer,change_rate_avg,change_rate_std
goose,11,0.19932776370551436,0.24326267293705417
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",1,1.4724954766620612e-08,3.1539352557151928e-09
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",2,8.306396992452393e-09,3.1409872517816088e-09
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",3,-7.821373344540919e-09,4.784776940722475e-09
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",4,1.379653549804516e-07,2.730824854459168e-08
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",5,-2.3059253067003737e-08,2.7778922253264335e-08
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",6,8.157262774943775e-07,3.1323295728870524e-07
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",7,-6.105995908001207e-08,2.635476503934079e-07
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",8,4.781627592365112e-07,4.3147867215817276e-07
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",9,6.930464024890171e-07,7.517093691955888e-07
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",10,4.0686692252046806e-05,5.3057881165250904e-05
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",11,0.5737366489725253,0.39247672078099116
jellyfish,1,-3.251181697123684e-06,4.523547541805397e-06
jellyfish,2,1.6549453284824267e-05,1.1459683761639629e-05
jellyfish,3,3.5748076115828305e-05,3.1080149787505425e-05
jellyfish,4,3.473292497800596e-05,3.568237890219108e-05
jellyfish,5,-1.4715878605776902e-05,2.7428030585113048e-05
jellyfish,6,5.068564169055258e-06,5.371212967377045e-05
jellyfish,7,-3.631060451879634e-05,5.298219068095634e-05
jellyfish,8,-3.4109211519523855e-05,3.430088929726575e-05
jellyfish,9,-2.2419110036934476e-05,1.879981510057825e-05
jellyfish,10,0.0005623573311185858,0.0008549242513975299
jellyfish,11,0.3754975174331412,0.3223577917179693
brain coral,1,6.9076061404160785e-09,1.255575454786319e-09
brain coral,2,-6.907135468026126e-09,1.047343554142006e-09
brain coral,3,1.6970303562402478e-09,1.2282491867058666e-09
brain coral,4,1.780957063601818e-08,8.436850376874967e-09
brain coral,5,1.925984065564989e-09,8.157074986974376e-09
brain coral,6,2.0454363536259734e-08,2.4516625242015365e-08
brain coral,7,3.794188685901645e-08,3.7033322939505375e-08
brain coral,8,-1.547213091868116e-08,3.400046058477169e-08
brain coral,9,2.0730082447073529e-07,2.698768115420703e-07
brain coral,10,1.0124140567384118e-05,1.9099307299939674e-05
brain coral,11,0.43841861862302267,0.35676673115185376
snail,1,0.00016061229980550196,3.4684920067381e-05
snail,2,-5.8665755204852005e-05,5.748801726570932e-05
snail,3,0.0005209250212647021,0.00011206736510696236
snail,4,0.000292954079341144,0.00021129121548004172
snail,5,0.000547508995514356,0.0003546801221958807
snail,6,8.661947445944597e-05,0.0004396871003878809
